LAT,LONG,DEM
65.866667,-167.000000,10
65.583333,-167.000000,228
60.200000,-167.000000,82
53.683333,-167.000000,603
65.866667,-166.716667,16
65.583333,-166.716667,232
60.200000,-166.716667,75
59.916667,-166.716667,41
53.966667,-166.716667,6
53.683333,-166.716667,141
65.866667,-166.433333,30
65.583333,-166.433333,328
65.016667,-166.433333,207
64.733333,-166.433333,15
60.200000,-166.433333,138
59.916667,-166.433333,196
53.683333,-166.433333,253
68.700000,-166.150000,383
68.416667,-166.150000,1
66.150000,-166.150000,11
65.866667,-166.150000,81
65.583333,-166.150000,246
65.300000,-166.150000,46
65.016667,-166.150000,99
64.733333,-166.150000,236
61.616667,-166.150000,11
60.200000,-166.150000,150
59.916667,-166.150000,117
53.966667,-166.150000,84
68.700000,-165.866667,337
68.416667,-165.866667,51
68.133333,-165.866667,180
65.866667,-165.866667,271
65.583333,-165.866667,281
65.300000,-165.866667,60
65.016667,-165.866667,236
64.733333,-165.866667,90
61.616667,-165.866667,14
61.333333,-165.866667,1
60.200000,-165.866667,60
59.916667,-165.866667,159
68.700000,-165.583333,258
68.416667,-165.583333,181
68.133333,-165.583333,163
65.866667,-165.583333,154
65.583333,-165.583333,244
65.300000,-165.583333,125
65.016667,-165.583333,610
64.733333,-165.583333,365
62.183333,-165.583333,1
61.900000,-165.583333,2
61.616667,-165.583333,11
61.333333,-165.583333,1
59.916667,-165.583333,64
54.250000,-165.583333,126
68.700000,-165.300000,126
68.416667,-165.300000,116
68.133333,-165.300000,68
66.433333,-165.300000,1
66.150000,-165.300000,14
65.866667,-165.300000,95
65.583333,-165.300000,347
65.300000,-165.300000,93
65.016667,-165.300000,762
64.733333,-165.300000,66
62.183333,-165.300000,5
61.900000,-165.300000,7
61.616667,-165.300000,3
61.333333,-165.300000,1
68.700000,-165.016667,101
68.416667,-165.016667,190
68.133333,-165.016667,188
66.150000,-165.016667,30
65.866667,-165.016667,120
65.583333,-165.016667,313
65.300000,-165.016667,72
65.016667,-165.016667,730
64.733333,-165.016667,242
64.450000,-165.016667,136
62.466667,-165.016667,1
62.183333,-165.016667,1
61.900000,-165.016667,3
61.616667,-165.016667,6
61.333333,-165.016667,3
68.700000,-164.733333,321
68.416667,-164.733333,308
68.133333,-164.733333,209
67.850000,-164.733333,46
66.433333,-164.733333,14
66.150000,-164.733333,13
65.866667,-164.733333,140
65.583333,-164.733333,120
65.300000,-164.733333,115
65.016667,-164.733333,245
64.733333,-164.733333,265
62.750000,-164.733333,1
62.466667,-164.733333,1
62.183333,-164.733333,1
61.900000,-164.733333,4
61.616667,-164.733333,1
61.333333,-164.733333,4
61.050000,-164.733333,1
60.766667,-164.733333,70
60.483333,-164.733333,72
54.533333,-164.733333,846
68.700000,-164.450000,164
68.416667,-164.450000,326
68.133333,-164.450000,213
67.850000,-164.450000,45
66.433333,-164.450000,15
66.150000,-164.450000,5
65.866667,-164.450000,193
65.583333,-164.450000,297
65.300000,-164.450000,28
65.016667,-164.450000,130
64.733333,-164.450000,245
63.033333,-164.450000,1
62.750000,-164.450000,1
62.466667,-164.450000,14
62.183333,-164.450000,10
61.900000,-164.450000,5
61.616667,-164.450000,30
61.333333,-164.450000,16
61.050000,-164.450000,5
60.766667,-164.450000,67
60.483333,-164.450000,1
60.200000,-164.450000,3
54.816667,-164.450000,50
54.533333,-164.450000,131
68.700000,-164.166667,178
68.416667,-164.166667,329
68.133333,-164.166667,121
67.850000,-164.166667,88
66.433333,-164.166667,17
66.150000,-164.166667,8
65.866667,-164.166667,149
65.583333,-164.166667,246
65.300000,-164.166667,61
65.016667,-164.166667,82
64.733333,-164.166667,168
63.033333,-164.166667,1
62.750000,-164.166667,2
62.466667,-164.166667,12
62.183333,-164.166667,62
61.900000,-164.166667,4
61.616667,-164.166667,7
61.333333,-164.166667,34
61.050000,-164.166667,6
60.483333,-164.166667,5
60.200000,-164.166667,2
59.916667,-164.166667,5
54.816667,-164.166667,141
68.983333,-163.883333,103
68.700000,-163.883333,120
68.416667,-163.883333,463
68.133333,-163.883333,365
67.850000,-163.883333,45
67.566667,-163.883333,150
66.433333,-163.883333,1
66.150000,-163.883333,2
65.866667,-163.883333,210
65.583333,-163.883333,120
65.300000,-163.883333,379
65.016667,-163.883333,219
64.733333,-163.883333,217
63.033333,-163.883333,1
62.750000,-163.883333,1
62.466667,-163.883333,1
62.183333,-163.883333,1
61.900000,-163.883333,3
61.616667,-163.883333,1
61.333333,-163.883333,43
61.050000,-163.883333,1
60.766667,-163.883333,7
60.483333,-163.883333,7
60.200000,-163.883333,5
59.916667,-163.883333,4
54.816667,-163.883333,304
68.983333,-163.600000,481
68.700000,-163.600000,201
68.416667,-163.600000,447
68.133333,-163.600000,293
67.850000,-163.600000,70
67.566667,-163.600000,138
67.283333,-163.600000,98
65.866667,-163.600000,281
65.583333,-163.600000,253
65.300000,-163.600000,490
65.016667,-163.600000,120
64.733333,-163.600000,53
63.033333,-163.600000,1
62.750000,-163.600000,6
62.466667,-163.600000,7
62.183333,-163.600000,53
61.900000,-163.600000,6
61.616667,-163.600000,9
61.333333,-163.600000,23
61.050000,-163.600000,8
60.483333,-163.600000,6
60.200000,-163.600000,7
59.916667,-163.600000,4
54.816667,-163.600000,924
69.266667,-163.316667,677
68.983333,-163.316667,429
68.700000,-163.316667,355
68.416667,-163.316667,409
68.133333,-163.316667,245
67.850000,-163.316667,156
67.566667,-163.316667,245
67.283333,-163.316667,134
65.866667,-163.316667,400
65.583333,-163.316667,336
65.300000,-163.316667,308
65.016667,-163.316667,120
64.733333,-163.316667,60
63.033333,-163.316667,1
62.750000,-163.316667,12
62.466667,-163.316667,30
62.183333,-163.316667,56
