Year,Month,AMO,,,,,,
1950,1,0.121,,,,,,
1950,2,-0.023,,,,,,
1950,3,-0.095,,,,,,
1950,4,-0.12,,,,,,
1950,5,-0.048,,,,,,
1950,6,-0.032,,,,,,
1950,7,-0.045,,,,,,
1950,8,0.031,,,,,,
1950,9,0.02,,,,,,
1950,10,-0.08,,,,,,
1950,11,0.09,,,,,,
1950,12,0.099,,,,,,
1951,1,0.113,,,,,,
1951,2,0.009,,,,,,
1951,3,0.023,,,,,,
1951,4,0.179,,,,,,
1951,5,0.183,,,,,,
1951,6,0.3,,,,,,
1951,7,0.433,,,,,,
1951,8,0.314,,,,,,
1951,9,0.26,,,,,,
1951,10,0.27,,,,,,
1951,11,0.186,,,,,,
1951,12,0.186,,,,,,
1952,1,0.183,,,,,,
1952,2,0.193,,,,,,
1952,3,0.241,,,,,,
1952,4,0.202,,,,,,
1952,5,0.191,,,,,,
1952,6,0.394,,,,,,
1952,7,0.383,,,,,,
1952,8,0.414,,,,,,
1952,9,0.373,,,,,,
1952,10,0.365,,,,,,
1952,11,0.261,,,,,,
1952,12,0.351,,,,,,
1953,1,0.276,,,,,,
1953,2,0.196,,,,,,
1953,3,0.152,,,,,,
1953,4,0.324,,,,,,
1953,5,0.353,,,,,,
1953,6,0.287,,,,,,
1953,7,0.355,,,,,,
1953,8,0.269,,,,,,
1953,9,0.291,,,,,,
1953,10,0.159,,,,,,
1953,11,0.255,,,,,,
1953,12,0.269,,,,,,
1954,1,0.238,,,,,,
1954,2,0.107,,,,,,
1954,3,0.112,,,,,,
1954,4,-0.002,,,,,,
1954,5,0.081,,,,,,
1954,6,0.11,,,,,,
1954,7,-0.034,,,,,,
1954,8,-0.003,,,,,,
1954,9,0,,,,,,
1954,10,-0.021,,,,,,
1954,11,-0.015,,,,,,
1954,12,-0.04,,,,,,
1955,1,0.087,,,,,,
1955,2,0.051,,,,,,
1955,3,0.053,,,,,,
1955,4,0.107,,,,,,
1955,5,0.188,,,,,,
1955,6,0.205,,,,,,
1955,7,0.28,,,,,,
1955,8,0.186,,,,,,
1955,9,0.214,,,,,,
1955,10,0.291,,,,,,
1955,11,0.398,,,,,,
1955,12,0.268,,,,,,
1956,1,0.198,,,,,,
