Year,Month,AO
1950,1,-0.06031
1950,2,0.62681
1950,3,-0.0081275
1950,4,0.5551
1950,5,0.071577
1950,6,0.53857
1950,7,-0.80248
1950,8,-0.85101
1950,9,0.35797
1950,10,-0.3789
1950,11,-0.51511
1950,12,-1.9281
1951,1,-0.084969
1951,2,-0.39993
1951,3,-1.9341
1951,4,-0.77648
1951,5,-0.86278
1951,6,-0.91786
1951,7,0.090023
1951,8,-0.37741
1951,9,-0.81778
1951,10,-0.21291
1951,11,-0.068519
1951,12,1.9872
1952,1,0.36825
1952,2,-1.7472
1952,3,-1.8595
1952,4,0.53852
1952,5,-0.77351
1952,6,-0.44093
1952,7,0.38308
1952,8,-0.030367
1952,9,-0.38345
1952,10,-0.43717
1952,11,-1.8909
1952,12,-1.8267
1953,1,-1.0362
1953,2,-0.2493
1953,3,1.0683
1953,4,-1.2558
1953,5,-0.56207
1953,6,0.022535
1953,7,0.33317
1953,8,0.08496
1953,9,0.66161
1953,10,-0.19446
1953,11,0.3536
1953,12,0.57547
1954,1,-0.14829
1954,2,-0.18094
1954,3,0.47572
1954,4,0.51169
1954,5,-1.6561
1954,6,-0.26811
1954,7,0.34089
1954,8,-0.12241
1954,9,0.3015
1954,10,0.51257
1954,11,-0.32835
1954,12,0.55259
1955,1,-1.1631
1955,2,-1.5423
1955,3,-1.5681
1955,4,0.19423
1955,5,0.24161
1955,6,-0.26578
1955,7,0.33194
1955,8,0.76012
1955,9,0.35676
1955,10,0.099053
1955,11,-1.3422
1955,12,-0.44403
1956,1,-1.2044
1956,2,-2.0286
1956,3,0.47036
1956,4,-0.86753
1956,5,1.3911
1956,6,0.28014
1956,7,-0.2146
1956,8,-0.65221
1956,9,-0.20195
1956,10,1.1392
1956,11,-0.06628
1956,12,0.00089139
1957,1,2.0621
1957,2,-1.5132
1957,3,-2.0126
1957,4,0.23766
1957,5,-0.9661
1957,6,-0.75999
1957,7,-0.6462
1957,8,0.096898
1957,9,-0.95588
1957,10,0.90314
1957,11,-1.38
1957,12,0.82801
1958,1,-1.4382
1958,2,-2.2282
1958,3,-2.5218
1958,4,-0.36002
1958,5,-0.33635
1958,6,-1.1493
1958,7,-0.68374
1958,8,-0.75479
1958,9,-0.012058
1958,10,0.77009
1958,11,-0.010675
1958,12,-1.6865
1959,1,-2.0128
1959,2,2.5445
1959,3,1.4318
1959,4,0.11924
1959,5,-0.34076
1959,6,-0.033434
1959,7,0.10472
1959,8,-0.74521
1959,9,-0.28076
1959,10,-0.24905
1959,11,-1.4106
1959,12,-0.04195
1960,1,-2.4842
1960,2,-2.2124
1960,3,-1.6246
1960,4,-0.29731
1960,5,-0.85743
1960,6,0.054978
1960,7,-0.61906
1960,8,-1.0079
1960,9,-0.38164
1960,10,-1.187
1960,11,-0.55323
1960,12,-0.34295
1961,1,-1.506
1961,2,0.62115
1961,3,0.34144
1961,4,-0.23749
1961,5,0.15748
1961,6,0.83696
1961,7,-0.10797
1961,8,0.012693
1961,9,0.81485
1961,10,0.20308
1961,11,-0.010438
1961,12,-1.6682
1962,1,1.6445
1962,2,-0.35815
1962,3,-2.848
1962,4,1.1692
1962,5,0.067997
1962,6,0.28707
1962,7,-0.92651
