Year,Month,NAO
1950,1,0.55
1950,2,3.31
1950,3,0.82
1950,4,1.61
1950,5,-1.73
1950,6,1.26
1950,7,-0.87
1950,8,-0.28
1950,9,1.51
1950,10,0.78
1950,11,0.78
1950,12,-1.88
1951,1,0.82
1951,2,0.93
1951,3,-2.01
1951,4,-0.45
1951,5,-2.11
1951,6,-1.16
1951,7,1.1
1951,8,0.85
1951,9,-0.22
1951,10,-0.13
1951,11,-0.97
1951,12,2.54
1952,1,0.92
1952,2,0.15
1952,3,-1.14
1952,4,2.79
1952,5,-0.94
1952,6,0.02
1952,7,-0.79
1952,8,-1.05
1952,9,-3.02
1952,10,0.42
1952,11,-1.51
1952,12,-0.31
1953,1,-0.02
1953,2,0.54
1953,3,1.25
1953,4,-1.6
1953,5,-0.75
1953,6,-2.96
1953,7,0.13
1953,8,3.26
1953,9,0.75
1953,10,0.77
1953,11,3.25
1953,12,0.15
1954,1,0.1
1954,2,0.57
1954,3,-0.29
1954,4,-0.26
1954,5,-0.91
1954,6,-0.94
1954,7,0.88
1954,8,-0.59
1954,9,2.49
1954,10,2.09
1954,11,1.54
1954,12,1.44
1955,1,-1.17
1955,2,-2.21
1955,3,-2.9
1955,4,2.4
1955,5,0.33
1955,6,-0.18
1955,7,-1.32
1955,8,0.54
1955,9,0.82
1955,10,-2.35
1955,11,-2.14
1955,12,0.51
1956,1,-0.76
1956,2,-2.96
1956,3,0.01
1956,4,-1.9
1956,5,4.54
1956,6,1.26
1956,7,0.35
1956,8,-3.15
1956,9,-0.51
1956,10,1.23
1956,11,1.39
1956,12,2.57
1957,1,2.53
1957,2,1.08
1957,3,0.42
1957,4,-0.62
1957,5,-0.84
1957,6,-0.8
1957,7,-0.48
1957,8,0.7
1957,9,-1.56
1957,10,1.07
1957,11,-1.59
1957,12,-0.12
1958,1,0.37
1958,2,-0.03
1958,3,-1.28
1958,4,1.79
1958,5,1.1
1958,6,-1.44
1958,7,-0.2
1958,8,0.98
1958,9,-0.23
1958,10,1.65
1958,11,0.43
1958,12,-1.7
1959,1,-1.15
1959,2,2.46
1959,3,1.82
1959,4,1.51
1959,5,-2.22
1959,6,1.51
1959,7,0.29
1959,8,0.02
1959,9,-1.81
1959,10,1.51
1959,11,-0.04
1959,12,1.98
1960,1,-0.7
1960,2,-1
1960,3,-0.87
1960,4,1.93
1960,5,0.07
1960,6,-0.41
1960,7,0.18
1960,8,-1.84
1960,9,0.24
1960,10,-3.08
1960,11,1.4
1960,12,0.46
1961,1,1.46
1961,2,4.06
1961,3,2.08
1961,4,0.71
1961,5,-0.94
1961,6,2.13
1961,7,0.63
1961,8,3.38
1961,9,2.01
1961,10,1
1961,11,-2.15
1961,12,-1.72
1962,1,2.44
1962,2,0.77
1962,3,-3.78
1962,4,0.74
1962,5,-0.1
1962,6,1.41
1962,7,-2.1
1962,8,2.28
1962,9,0.02
1962,10,-0.34
1962,11,-2.23
1962,12,-0.66
1963,1,-4.09
1963,2,-1.9
1963,3,2.79
1963,4,-0.46
1963,5,1.91
1963,6,-1.77
1963,7,-0.65
1963,8,-0.96
1963,9,0.94
1963,10,2.79
1963,11,-0.15
1963,12,-3.09
1964,1,0.93
1964,2,-0.13
1964,3,-0.77
1964,4,0.95
1964,5,2.51
1964,6,-1.85
1964,7,2.44
1964,8,-2.46
1964,9,0.5
1964,10,0.63
1964,11,1.33
1964,12,-1.24
1965,1,0.01
1965,2,-3.03
1965,3,0.23
1965,4,2.14
1965,5,-0.08
1965,6,0.87
1965,7,-1.71
1965,8,1.59
1965,9,-1.01
1965,10,-1.26
1965,11,-1.78
1965,12,1.24
1966,1,-1.01
1966,2,-0.38
1966,3,1.05
1966,4,1.18
1966,5,1.51
1966,6,0.82
1966,7,-1.99
1966,8,-2.03
1966,9,-0.47
1966,10,-2.89
1966,11,-0.07
1966,12,1.68
1967,1,0.04
1967,2,1.7
1967,3,3
1967,4,-0.76
1967,5,-0.46
1967,6,1.96
1967,7,1.44
1967,8,-0.41
1967,9,0.32
1967,10,1.34
1967,11,-0.91
1967,12,-0.53
1968,1,1.65
1968,2,-1.53
1968,3,0.34
1968,4,-0.71
1968,5,-1.5
1968,6,0.95
1968,7,-1.96
1968,8,-1.45
1968,9,0.5
1968,10,0.03
1968,11,-2
1968,12,-1.73
1969,1,-1.64
1969,2,-3.16
1969,3,-1.81
1969,4,1.11
1969,5,-0.23
1969,6,-1.17
1969,7,3.7
1969,8,-1.62
1969,9,0.38
1969,10,0.7
1969,11,-1.28
1969,12,-0.26
1970,1,-1.16
1970,2,1.1
1970,3,-1.78
1970,4,2.52
1970,5,1.87
1970,6,-0.11
1970,7,0.27
1970,8,-0.2
1970,9,0.47
1970,10,0
1970,11,0.76
1970,12,-1.58
1971,1,-0.43
1971,2,1.21
1971,3,-1.76
1971,4,-3.15
1971,5,-0.62
1971,6,-1.32
1971,7,-1.04
1971,8,0.07
1971,9,-0.54
1971,10,1.63
1971,11,-1.46
1971,12,0.76
1972,1,-0.52
1972,2,-0.2
1972,3,0.26
1972,4,0.22
1972,5,1.24
1972,6,1.07
1972,7,0.41
1972,8,0.11
1972,9,-4.11
1972,10,-1.74
1972,11,0.64
1972,12,2.11
1973,1,1.37
1973,2,1.22
1973,3,1.04
1973,4,-2.61
1973,5,0.37
1973,6,0.83
1973,7,-1.85
1973,8,2.32
1973,9,-0.79
1973,10,-1.03
